Chapter,Jurisdiction,Iso,Document title,Year enacted,Years amended,Policy scope,CDR relevance,Broad method,Specific method,CDR value chain focus,Instrument category,Instrument type,Target year,Target amount,Target unit,Target type,Target binding,Policy link
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,National Voluntary Nature Repair Market,2023,,Instrument,"Establishes a voluntary market for nature repair certificates; incentivises land management that restores ecosystems, with potential co-benefit carbon sequestration.",Conventional CDR,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands",Cross-cutting,Regulatory instrument,mrv_standard; regulatory_safeguard,,,,,,https://www.dcceew.gov.au/environment/environmental-markets/nature-repair-market
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Support Plantation Establishment Grants Program,2023,,Instrument,"Grant funding to establish new softwood and hardwood plantations, expanding domestic timber supply and contributing to carbon sequestration in forests.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://www.agriculture.gov.au/agriculture-land/forestry/industries/support-plantation-establishment-program
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,National Soil Action Plan 2023–2028,2023,,Instrument,"Implements the National Soil Strategy with actions to prioritise soil health, innovation and knowledge, indirectly supporting soil carbon sequestration and MRV.",Conventional CDR,Soil carbon sequestration in croplands & grasslands,Supply,Regulatory instrument,mrv_standard; Other,,,,,,https://www.agriculture.gov.au/agriculture-land/farm-food-drought/natural-resources/soils/national-soil-action-plan
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Climate-Smart Agriculture Program,2023,,Instrument,"Research and grants programme for climate-smart agriculture, including projects on soil carbon sequestration and enhanced rock weathering.",Conventional CDR; Novel CDR,Soil carbon sequestration in croplands & grasslands; Enhanced weathering,Supply,Economic instrument,rd_d_funding,,,,,,https://www.agriculture.gov.au/agriculture-land/farm-food-drought/natural-resources/landcare/climate-smart#funded-projects
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,National Environmental Standard for Restoration Actions and Restoration Contributions,2023,2025,Instrument,"Standard to govern restoration actions and monetary contributions under reformed environmental offsets, including requirements for like-for-like restoration that can increase carbon stocks.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,regulatory_safeguard; mrv_standard,,,,,,https://www.dcceew.gov.au/environment/epbc/epbc-act-reform
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Carbon Farming Outreach Program,2024,,Instrument,"Provides information, training and grants for advisers to help farmers and land managers participate in carbon markets and adopt low-emission and sequestration practices.",Multiple,Multiple,Supply,Economic instrument,operating_subsidy; rd_d_funding,,,,,,https://www.dcceew.gov.au/climate-change/emissions-reduction/agricultural-land-sectors/carbon-farming-outreach-program
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Agriculture and Land Sectoral Plan,2025,,Framework,"Net-zero plan for agriculture and land sector emissions and removals; guides forestry, conservation lands and Indigenous Protected Areas.",Multiple,Multiple,Cross-cutting,Other,Other,,,,,,https://www.agriculture.gov.au/agriculture-land/farm-food-drought/climatechange/ag-and-land-sector-plan
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Industry Sector Plan,2025,,Framework,Industry decarbonisation plan whose CDR-relevant components support deployment of CCS/CCUS and potential BECCS/DACCS for hard-to-abate industrial emissions.,Novel CDR; Enabling infrastructure,"CO₂ transport; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS); Mineral products (e.g. CO₂-cured concrete, aggregates)",Supply,Other,Other,,,,,,https://www.industry.gov.au/publications/industry-sector-plan
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Resources Sector Plan,2025,,Framework,"Resources sector plan that scales up carbon management technologies through CCS/CCUS, providing enabling infrastructure and storage sites that can serve CDR projects.",Novel CDR; Enabling infrastructure,CO₂ geological storage; Multiple,Supply,Other,Other,,,,,,https://www.industry.gov.au/publications/resources-sector-plan
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Net Zero Plan,2025,,Framework,"Sets national pathway for reaching net zero and scaling net carbon removals across land sinks and engineered CDR (CCS, BECCS, DAC).",Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS); Biochar soil amendment",Cross-cutting,Other,Other,,,,,,https://www.dcceew.gov.au/climate-change/publications/net-zero-plan
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Australia’s Nationally Determined Contribution (Paris Agreement),2015,,Framework,"Initial NDC under the Paris Agreement committing Australia to reduce greenhouse gas emissions by 26–28% below 2005 levels by 2030, with land sector carbon sinks contributing to national mitigation outcomes.",Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands",Cross-cutting,Regulatory instrument,target,2030,26–28,% below 2005 levels,Emissions,No,https://www4.unfccc.int/sites/NDCStaging/Pages/Party.aspx?party=AUS
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Australia's Updated Nationally Determined Contribution 2021 (Paris Agreement),2021,,Framework,"Australia updated its 2030 NDC in 2021, retaining the 26–28% below 2005 target while adding stronger land-sector commitments including reforestation and land restoration.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,26-28,% below 2005 levels,Emissions,No,https://www4.unfccc.int/sites/NDCStaging/Pages/Party.aspx?party=AUS
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Australia’s Updated Nationally Determined Contribution (Paris Agreement),2022,,Framework,Updated NDC strengthening Australia’s 2030 emissions reduction target and reaffirming the role of land sector carbon sinks in achieving national mitigation goals.,Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands",Cross-cutting,Regulatory instrument,target,2030,43,% below 2005 levels,Emissions,No,https://www.dcceew.gov.au/climate-change/emissions-reduction/2030-target
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Australia’s 2035 Nationally Determined Contribution (Paris Agreement),2025,,Framework,NDC update outlining Australia’s emissions reduction target for 2035 and the expected contribution of land sector sinks and carbon management technologies to long-term net zero goals.,Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS)",Cross-cutting,Regulatory instrument,target,2035,62–70,% below 2005 levels,Emissions,No,https://www.dcceew.gov.au/climate-change/ndc
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,National Greenhouse and Energy Reporting (Safeguard Mechanism) Rule 2015,2016,2023; 2024,Instrument,"Baseline-and-credit compliance mechanism for large industrial emitters under which facilities exceeding emissions baselines must surrender eligible credits including Australian Carbon Credit Units (ACCUs), creating regulated demand for carbon removals.",Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands; Biochar soil amendment; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS)",Demand,Regulatory instrument,compliance_market_integration; regulatory_safeguard,,,,,,https://www.dcceew.gov.au/climate-change/emissions-reporting/national-greenhouse-energy-reporting-scheme/safeguard-mechanism
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,Aarhus Convention (implemented via Regulation (EC) 1367/2006),1998,2006; 2021,Instrument,"Access to information, public participation and justice in environmental matters; applies to CCS/CDR projects and plans.",Multiple,Multiple,Cross-cutting,Regulatory instrument,community_safeguard,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32006R1367
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,"Effort Sharing Regulation (Regulation (EU) 2018/842, amended 2023)",2018,2023,Framework,Allocates national emission-reduction targets for non-ETS sectors; limited flexibility to use LULUCF removals toward ESR targets.,Multiple,"Afforestation, reforestation, forest management; Agroforestry; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration",Cross-cutting,Regulatory instrument,target,2030,country specific,,Emissions,Yes,https://eur-lex.europa.eu/eli/reg/2018/842
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,"EU ETS Directive (Directive 2003/87/EC, amended by Directive (EU) 2023/959)",2003,2008; 2009; 2014; 2018; 2023,Instrument,"Cap-and-trade system covering power, industry, aviation and maritime sectors; currently excludes carbon dioxide removal credits from compliance use, though future inclusion of durable removals is under discussion.",Multiple,Multiple,Demand,Regulatory instrument,compliance_market_integration,,,,,,https://eur-lex.europa.eu/eli/dir/2003/87
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,Delegated Regulation 2024/2620 (permanent chemical binding in products),2024,,Instrument,"Clarifies when CO₂ is considered permanently chemically bound in products for accounting, relevant to mineralisation-based CDR.",Novel CDR,"Mineral products (e.g. CO₂-cured concrete, aggregates)",Cross-cutting,Regulatory instrument,regulatory_safeguard; mrv_standard,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R2620
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,Clean Industrial Deal Communication (COM(2025) 85 final),2025,,Framework,"Commission communication setting a strategic roadmap for EU industrial decarbonisation and competitiveness, including policy directions relevant to scaling carbon management and durable removals.",Multiple,Multiple,Cross-cutting,Information instrument,Other,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52025DC0085
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,Industrial Carbon Management Strategy (COM(2024) 62),2024,,Framework,"Commission strategy coordinating CO₂ transport and storage markets, standards and funding streams to enable industrial carbon management and durable removals.",Multiple,CO₂ transport; CO₂ geological storage; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS),Cross-cutting,Information instrument,Other,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:52024DC0062
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,Horizon Europe (2021–2027),2021,,Instrument,"EU research and innovation framework funding CDR methods, enabling infrastructure and MRV development.",Multiple,Multiple,Supply,Economic instrument,rd_d_funding,,,,,,https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe_en
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,InvestEU Programme,2021,,Instrument,EU budget guarantee mobilising loans and guarantees for clean industry including CO₂ transport and storage infrastructure.,Enabling infrastructure,CO₂ transport; CO₂ geological storage,Supply,Economic instrument,public_loan,,,,,,https://investeu.europa.eu/investeu-programme_en
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,CCS Directive (Directive 2009/31/EC),2009,2012; 2018,Instrument,"EU-wide permitting, monitoring and liability rules for geological CO₂ storage, enabling durable storage for BECCS and DACCS.",Enabling infrastructure,CO₂ geological storage,Cross-cutting,Regulatory instrument,regulatory_safeguard; mrv_standard,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02009L0031-20181224
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,Common Agricultural Policy (CAP) 2021–2027,2021,,Instrument,"Eco-schemes and rural development funds support agroforestry, peatland restoration and soil carbon practices that can supply land-based CDR.",Conventional CDR,Agroforestry; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration,Supply,Economic instrument,operating_subsidy,,,,,,https://agriculture.ec.europa.eu/common-agricultural-policy/financing-cap/cap-funds_en
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,TEN-E Regulation (Regulation 2022/869),2022,,Instrument,Enables designation and streamlined permitting for cross-border CO₂ transport networks and related infrastructure.,Enabling infrastructure,CO₂ transport; CO₂ geological storage,Supply,Regulatory instrument,regulatory_safeguard,,,,,,https://eur-lex.europa.eu/eli/reg/2022/869/oj/eng
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,EIA Directive (2011/92/EU) as amended by 2014/52/EU,2011,2014,Instrument,Requires environmental impact assessments for large projects including CCS/CDR infrastructure and related developments.,Multiple,Multiple,Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://eur-lex.europa.eu/eli/dir/2011/92
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,Carbon Removals and Carbon Farming Certification Regulation (Regulation (EU) 2024/3012),2024,,Instrument,"Establishes an EU certification framework for carbon removals and carbon farming, including quality criteria and MRV requirements.",Multiple,Multiple,Cross-cutting,Regulatory instrument,mrv_standard; regulatory_safeguard,,,,,,https://eur-lex.europa.eu/eli/reg/2024/3012/oj/eng
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,LIFE Programme (2021–2027),2021,,Instrument,Funds environmental and climate projects including pilots relevant to land- or ocean-based CDR methods and MRV.,Multiple,Multiple,Supply,Economic instrument,rd_d_funding; operating_subsidy,,,,,,https://commission.europa.eu/strategy-and-policy/eu-budget/performance-and-reporting/programme-performance-statements/life-performance/life-monitoring-and-evaluation_en
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,Connecting Europe Facility – Energy (CEF-E),2021,,Instrument,Provides grants for cross-border CO₂ transport infrastructure when designated under TEN-E.,Enabling infrastructure,CO₂ transport; CO₂ geological storage,Supply,Economic instrument,capital_subsidy,,,,,,https://cinea.ec.europa.eu/programmes/connecting-europe-facility/energy-infrastructure-connecting-europe-facility-0_en
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,EU Innovation Fund,2020,,Instrument,Provides grants for first-of-a-kind low-carbon projects including CCUS and CDR technologies.,Multiple,"CO₂ transport; CO₂ geological storage; Bioenergy with carbon capture and storage (BECCS); Direct air capture with geological storage (DACCS); Mineral products (e.g. CO₂-cured concrete, aggregates)",Supply,Economic instrument,capital_subsidy,,,,,,https://commission.europa.eu/funding-tenders/find-funding/eu-funding-programmes/innovation-fund_en
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,Fit for 55 Package,2021,,Framework,"Legislative package implementing EU climate targets through reforms to ETS, ESR and LULUCF, affecting carbon removals governance.",Multiple,Multiple,Cross-cutting,Other,Other,,,,,,https://climate.ec.europa.eu/eu-action/european-green-deal/delivering-european-green-deal_en
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,European Climate Law (Regulation (EU) 2021/1119),2021,,Framework,"Makes EU climate neutrality by 2050 and at least 55% net greenhouse gas reduction by 2030 legally binding, embedding removals in the EU climate framework.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030; 2050,55; 0,% net GHG reduction vs 1990; climate neutrality,Emissions,Yes,https://eur-lex.europa.eu/eli/reg/2021/1119
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,Net-Zero Industry Act (Regulation (EU) 2024/1735),2024,,Framework,"Requires the Union to reach at least 50 MtCO₂ per year of operational CO₂ injection capacity by 2030, accelerating storage build-out relevant to durable CDR.",Enabling infrastructure,CO₂ geological storage,Supply,Regulatory instrument,target,2030,50,MtCO₂ per year,CO₂ storage,Yes,https://eur-lex.europa.eu/eli/reg/2024/1735/oj/eng
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,SEA Directive (2001/42/EC),2001,,Instrument,Requires strategic environmental assessment for plans and programmes affecting CDR/CCS infrastructure and land-use measures.,Multiple,Multiple,Cross-cutting,Regulatory instrument,regulatory_safeguard,,,,,,https://eur-lex.europa.eu/eli/dir/2001/42
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,Sustainable Carbon Cycles Communication,2021,,Framework,Maps out the role of carbon removals and carbon management technologies in achieving EU climate neutrality.,Multiple,Multiple,Cross-cutting,Information instrument,Other,,,,,,https://ec.europa.eu/transparency/documents-register/detail?ref=COM(2021)800
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,EU Bioeconomy Strategy,2018,2025,Framework,Highlights the role of biogenic carbon removal pathways including biochar and biogenic carbon storage in the EU bioeconomy.,Multiple,Multiple,Cross-cutting,Information instrument,Other,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A52018DC0673
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,European Green Deal (COM(2019) 640),2019,,Framework,Strategic roadmap toward climate neutrality by 2050 framing EU decarbonisation policy and the future role of removals.,Multiple,Multiple,Cross-cutting,Information instrument,Other,,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52019DC0640
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,"LULUCF Regulation (Regulation (EU) 2018/841, revised 2023)",2018,2023,Instrument,"Establishes binding EU-wide and national net removals targets for the land-use sector, indirectly incentivising land-based CDR activities.",Conventional CDR,"Afforestation, reforestation, forest management; Agroforestry; Soil carbon sequestration in croplands & grasslands; Peatland and coastal wetland restoration",Cross-cutting,Regulatory instrument,target,2030,310,MtCO₂e net removals,Emissions,Yes,https://eur-lex.europa.eu/eli/reg/2018/841
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,EU Nationally Determined Contribution (Paris Agreement),2015,,Framework,"Initial EU NDC under the Paris Agreement committing the EU to reduce greenhouse gas emissions by at least 40% by 2030 compared to 1990 levels, with land-use removals contributing to net accounting.",Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,40,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/LV-03-06-EU%20INDC.pdf
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,EU Updated Nationally Determined Contribution (Paris Agreement),2020,,Framework,Updated EU NDC strengthening the 2030 climate target to at least 55% net greenhouse gas emission reduction compared to 1990 levels.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,55,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf
State of CDR (Edition 3) - Policymaking and governance,European Union,EU,EU Nationally Determined Contribution 2035,2025,,Framework,Updated EU NDC outlining a contribution of 66.25–72.5% net greenhouse gas emission reduction by 2035 relative to 1990 levels.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2035,66.25–72.5,% net GHG reduction vs 1990,Emissions,No,https://unfccc.int/sites/default/files/2025-11/DK-2025-11-05%20EU%20NDC.pdf
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,Long-term Low-GHG Strategy (LTS 2050),2022,,Framework,2050 long-term climate strategy emphasising forest protection and ecosystem sinks as part of Argentina's pathway toward climate neutrality.,Multiple,"Afforestation, reforestation, forest management; Soil carbon sequestration in croplands & grasslands",Cross-cutting,Information instrument,target,2050,0,net GHG emissions,Emissions,No,https://unfccc.int/documents/622013
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,Decree 1070/2005 creating the Argentine Carbon Fund,2005,,Instrument,"Establishes a public fund enabling procurement of afforestation and reforestation CDM credits, creating demand for land-based removals.",Conventional CDR,"Afforestation, reforestation, forest management",Demand,Economic instrument,public_procurement,,,,,,https://climate-laws.org/document/national-decree-1070-05-2005-creation-of-the-argentine-carbon-fund_26bf
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,First Nationally Determined Contribution (NDC),2016,,Framework,Argentina's first Paris Agreement pledge establishing an economy-wide emissions limit and recognising the role of land-use sinks.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030,483,MtCO₂e,Emissions,No,https://unfccc.int/sites/default/files/NDC/2022-05/Traduccio%CC%81n%20NDC_Argentina.pdf
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,National Plan for the Management of Forests with Integrated Livestock (MBGI),2015,,Instrument,Promotes integrated forest-livestock management practices that maintain forest cover and carbon stocks.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Regulatory instrument,regulatory_safeguard,,,,,,http://fapda.apps.fao.org/fapda/index.html#main.html?policyframeworkid=359
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,National Strategy for the Use of Carbon Markets (ENUMeC),2023,,Framework,Establishes Argentina's national carbon market strategy enabling participation in voluntary and Article 6 markets and potential future CDR crediting.,Multiple,Multiple,Demand,Other,compliance_market_integration,,,,,,https://climate-laws.org/document/national-strategy-for-the-use-of-carbon-markets-enumec_e784
State of CDR (Edition 3) - Policymaking and governance,Argentina,ARG,National Plan for the Restoration of Native Forests (PNRBN),2018,,Framework,National programme to restore native forests and increase carbon sequestration in the land sector.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Other,target,2023,18000,ha restored,CDR,No,https://climate-laws.org/document/national-plan-for-the-restoration-of-native-forests-pnrbn_3605
